client_id,clnt_tenure_yr,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,bal_category,account_since_child
2390279,10,41,F,2,68628.70999999999,5,8,medio,no
2390391,13,27,F,3,71788.79999999999,6,9,medio,yes
2390397,5,60,U,2,452653.8,6,9,alto,no
2390810,17,67,F,2,172061.96000000002,0,4,alto,no
2390984,5,61,M,3,254054.99,6,9,alto,no
2391646,11,64,F,2,30966.67,2,5,bajo,no
2391727,15,37,F,3,94620.72,5,8,medio,no
2391782,12,61,M,2,74860.06,2,5,medio,no
2391803,9,60,F,2,74459.25,6,9,medio,no
2391912,5,55,U,2,47595.76,4,7,medio,no
2392260,5,59,U,2,39399.24,3,6,medio,no
2392277,16,32,F,2,45575.65,3,7,medio,yes
2392397,10,55,M,2,59286.36,2,5,medio,no
2393271,4,23,U,2,43353.24,2,5,medio,no
2393856,11,54,F,3,60640.39,0,3,medio,no
2394796,33,55,M,2,32919.79,1,4,bajo,no
2394940,8,64,F,2,74149.9,2,5,medio,no
2395001,7,65,U,3,123318.97,6,9,medio,no
2395006,23,69,F,2,184080.88,4,7,alto,no
2395071,7,49,U,2,158763.26,6,9,alto,no
2395247,13,56,M,2,31794.61,6,9,bajo,no
2395301,5,61,U,2,65982.41,1,4,medio,no
2395415,9,49,U,2,39904.38,0,3,medio,no
2395424,6,34,U,2,133328.71,2,5,medio,no
2395794,12,65,F,2,37576.06,6,9,medio,no
2395828,12,40,M,2,52452.97,4,7,medio,no
2395949,14,37,F,2,34862.27,0,3,bajo,no
2396007,13,27,M,2,48353.25,5,8,medio,yes
2396150,4,19,U,2,25124.16,1,4,bajo,yes
2396230,14,44,F,3,67452.94,2,5,medio,no
2396331,10,31,M,2,50447.77,2,5,medio,no
2396499,18,38,F,2,30547.94,4,7,bajo,no
2396722,5,38,U,2,105974.5,0,3,medio,no
2396836,10,37,U,2,270009.49,6,9,alto,no
2396847,20,28,U,2,30404.55,2,5,bajo,yes
2397050,14,28,M,2,31550.8,6,9,bajo,yes
2397115,6,32,U,2,35661.98,1,4,bajo,no
2397151,23,62,M,2,61298.66,5,8,medio,no
2397250,6,35,U,2,32068.39,0,3,bajo,no
2397739,7,64,U,2,29932.66,3,6,bajo,no
2397900,5,58,F,2,268639.38,1,4,alto,no
2398023,12,40,F,4,150824.99,4,7,alto,no
2398138,8,49,M,2,29531.46,1,4,bajo,no
2398368,20,55,U,2,45358.07,0,4,medio,no
2398801,5,26,F,2,36825.97,1,4,bajo,no
2399201,21,69,F,2,104804.97,4,7,medio,no
2399324,29,69,U,3,1374585.42,6,9,alto,no
2399540,4,65,U,3,120641.76,2,6,medio,no
2400004,21,24,F,3,109901.49,5,8,medio,yes
2400035,13,53,M,2,121178.45,5,8,medio,no
2400763,6,71,U,2,60498.67,4,7,medio,no
2400777,5,23,U,2,38223.67,2,5,medio,no
2400957,11,67,M,2,301853.29,6,9,alto,no
2401634,8,53,U,2,44305.58,1,4,medio,no
2401912,11,39,F,2,72003.17,1,4,medio,no
2402214,7,35,U,2,29626.7,3,6,bajo,no
2402375,5,22,U,2,38689.95,0,3,medio,yes
2402627,8,24,U,3,93925.18,2,5,medio,yes
2402695,7,55,U,2,132654.97999999998,3,6,medio,no
2402724,14,57,F,2,72334.04999999999,2,5,medio,no
2402747,9,47,M,2,89987.25,3,6,medio,no
2402872,30,64,F,2,91656.7,2,5,medio,no
2403493,12,69,M,2,167350.52999999997,6,9,alto,no
2403725,5,42,U,2,37268.37,1,4,bajo,no
2403780,9,67,F,2,49363.48,4,7,medio,no
2404228,15,52,F,2,148479.03999999998,1,4,alto,no
2404401,21,50,M,2,1262833.0799999998,6,9,alto,no
2404609,4,73,U,2,35873.98,2,6,bajo,no
2404667,12,37,F,2,43068.64,0,3,medio,no
2405156,6,23,U,2,51129.85,3,6,medio,yes
2405207,11,30,M,3,92265.31,2,5,medio,no
2405235,25,47,M,2,91967.31,2,5,medio,no
2405238,15,58,F,2,32601.57,2,5,bajo,no
